CustomerID,Name,Region,JoinDate,Status,Points
1000,Robert Gomez,West,2/25/2024,,-247
1001,John Silva,East,12/1/2020,Platinum,9490
1002,Mark Marshall,Central,8/8/2020,Platinum,8843
1003,David Brennan,North,5/21/2020,Platinum,9789
1004,Kerry Collins,North,9/12/2023,Silver,1151
1005,Jessica Mora,South,8/5/2021,Gold,5294
1005,Jessica Mora,South,8/5/2021,Gold,5902
1006,Hannah Ray,West,7/3/2021,Gold,6738
1007,David Kim,West,5/20/2020,Platinum,10896
1008,William Ramirez,EAST,9/15/2023,Silver,2783
1009,Zachary Bell Jr.,East,4/20/2023,Silver,3485
1010,Mike Davis,East,3/23/2022,Gold,6675
1011,Amanda Myers,West,9/5/2021,,4534
1012,Tara Miller,North,8/10/2020,Platinum,8443
1013,Alyssa Morgan,North,7/22/2022,Gold,7015
1014,Cindy Woods,East,4/2/2024,Bronze,254
1015,Jennifer Rodgers,North,2/12/2023,Silver,3752
1016,Andrea Roberts,EAST,5/16/2021,Gold,4250
1017,Brittney Burnett,North,7/3/2020,Platinum,8702
1018,Edwin Garrison,south-west,8/31/2020,Platinum,8311
1019,Michelle Torres,Central,11/18/2020,Platinum,11840
1020,Michelle Brewer,East,7/14/2021,Gold,4501
1021,Aaron Burnett,South,2/13/2024,Bronze,611
1022,Austin Gutierrez,EAST,11/25/2021,Gold,6497
1023,Dustin Medina,east,6/14/2021,Gold,6996
1024,Andres Avila,Central,9/19/2022,Gold,5779
1025,Garrett Lewis,South,8/4/2023,Silver,2594
1026,Gary Walls,North,10/5/2023,Silver,2095
1027,Anthony Schroeder,east,10/4/2020,Platinum,9812
1028,Haley Wagner,West,11/3/2023,Silver,1633
1029,Gina Powers,West,10/26/2022,Gold,5419
1030,Alice Robinson,EAST,8/6/2021,Gold,6764
1031,Jessica Frazier,West,10/20/2021,Gold,4387
1032,Terri Long,east,10/23/2022,Gold,4201
1033,Paul Perkins,east,3/16/2022,Gold,4889
1034,Heather Smith,Central,9/16/2022,Gold,4363
1035,Lorraine Rodriguez,East,9/26/2022,Gold,5157
1036,Robert Bishop,south-west,9/14/2020,Platinum,7673
1037,Lisa Sanders,West,6/3/2020,Platinum,11791
1038,Jason Ford,EAST,10/9/2023,Silver,2561
1039,Brandy Good,West,5/21/2023,Silver,3058
1040,Angel Lee,Central,4/8/2022,Gold,5354
1041,David Beltran,east,1/18/2021,Gold,6944
1042,Christopher Dodson,North,10/30/2023,Silver,1509
1043,Eric Pena,West,6/30/2022,Gold,7405
1044,Anita Huerta,East,4/8/2022,Gold,4142
1045,Dr. Susan Bailey,North,10/2/2020,Platinum,8858
1046,Tyler Colon,Central,3/3/2021,Gold,7374
1047,Ashley Pearson,West,10/4/2020,Platinum,11597
1048,Dr. Donald Proctor,North,3/17/2024,Bronze,376
1049,Rebecca Jordan,West,10/8/2022,Gold,7070
1050,Jeffrey Mclaughlin,EAST,3/28/2022,Gold,6981
